time,user_id,product_id,belong_cate_lvl1_id,belong_cate_lvl2_id,belong_cate_lvl3_id,belong_cate_lvl1_name,belong_cate_lvl2_name,belong_cate_lvl3_name,href
2016-03-31 00:43:14,451FD6D4521B91B5AABF4B17A9C8FDBC,2512533,528,529,734,Phụ kiện công nghệ,Phụ kiện Điện thoại,Bàn phím máy tính bảng,https://www.sendo.vn/san-pham/ban-phim-bluetooth-ipad-iphone-samsung-htc-blackberry-2512533/
2016-03-31 00:43:15,BD8DA9C53CBAE1CD781F396BE2180D8D,2178705,8,52,54,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà",Quần lót,https://www.sendo.vn/san-pham/quan-lot-khe-xinh-xan-dl99-2178705/?trackid=2178705&utm_source=google&utm_medium=cpc&utm_content=2178705&utm_campaign=dpa_sendo_thoitrangnu_dolotvangu_quanlot&gclid=CLDi6v766MsCFYOWvQod1gEABg
2016-03-31 00:43:17,BD8DA9C53CBAE1CD781F396BE2180D8D,1857982,8,52,54,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà",Quần lót,https://www.sendo.vn/san-pham/quan-lot-lot-khe-dl01-1857982/?trackid=1857982&utm_source=google&utm_medium=cpc&utm_content=1857982&utm_campaign=dpa_sendo_thoitrangnu_dolotvangu_quanlot&gclid=CPnhw_z66MsCFQwjvQodpkYAcw
2016-03-31 00:43:17,4648F737E4F2A863C6FFAF86F47A5D38,2776401,94,126,135,Thời trang nam,Phụ kiện,Nón,https://www.sendo.vn/san-pham/non-cao-cap-dg-m400-mau-trang-2776401/?trackid=2776401&utm_source=google&utm_medium=cpc&utm_content=2776401&utm_campaign=dpa_sendo_thoitrangnam_phukien_non&gclid=CKPF0f766MsCFdOHaAod-zUI2w
2016-03-31 00:43:19,7BB48F67DB7EF35F7D0FFBF9CDD7445B,2937257,1366,1367,1370,Đồng hồ,Đồng hồ nam,Đồng hồ kim,https://www.sendo.vn/san-pham/dong-ho-soki-da-phong-cach-2937257/
2016-03-31 00:43:28,E0F335F3B4115CC83C481CFB8701B6E5,2542337,1366,1376,1380,Đồng hồ,Đồng hồ khác,Đồng hồ thông minh,https://www.sendo.vn/san-pham/dong-ho-thong-minh-smartwatch-gt-08-md-2015-den-2542337/
2016-03-31 00:43:28,9992850912E7B3DFDBC0CEE9E01EC035,2200658,220,229,314,Sức khỏe & Làm đẹp,Chăm sóc da nữ,Bộ mỹ phẩm chăm sóc da,https://www.sendo.vn/san-pham/bo-san-pham-my-pham-du-lich-the-face-shop-flower-sensual-travel-kit-2200658/
2016-03-31 00:43:33,7BB48F67DB7EF35F7D0FFBF9CDD7445B,2937324,1366,1367,1370,Đồng hồ,Đồng hồ nam,Đồng hồ kim,https://www.sendo.vn/san-pham/dong-ho-v6-chong-nuoc-2937324/
2016-03-31 00:43:44,CD0324CAAE064A41B564B5078526094C,1393133,1722,1725,1743,Túi xách,"Ví, bóp nữ","Ví, bóp tiền nữ",https://www.sendo.vn/san-pham/vi-nu-cam-tay-loai-dai-chat-lieu-da-lon-moi-ve-hang-rat-dep-1393133/
2016-03-31 00:43:49,12AC797A195C859635800F5D707E38C5,2598544,1722,1723,1732,Túi xách,Túi xách nữ,Túi đeo chéo nữ,https://www.sendo.vn/san-pham/tui-xuat-xin-gia-sieu-re-2598544/
